Матеріал: 0 та загальна площа: 49 / 17 / 16 м².,Кудрявська
Матеріал: монолитно-каркасные та загальна площа: 193 / 80 / 24 м².,Перемоги
Матеріал: 0 та загальна площа: 41.3 / 26 / 6 м².,Німанська
Матеріал: кирпичные та загальна площа: 43 / 31 / 6 м².,Каховська
Матеріал: кирпичные та загальна площа: 350 / 178 / 30 м².,Малопідвальна
Матеріал: 0 та загальна площа: 127 м².,Невська
Матеріал: 0 та загальна площа: 77.9 м².,Златоустівська
Матеріал: монолитно-каркасные та загальна площа: 180 / 86.6 / 28.6 м².,
Матеріал: <span>16 ноября 2020 г.</span> та загальна площа: 54.54 / 15.08 / 15.18 м².,Берковецька
Матеріал: 0 та загальна площа: *** not found .,Бажана
Матеріал: кирпичные та загальна площа: 60 / 40 / 8 м².,Антоновича
Матеріал: панельные та загальна площа: 60 / 40.6 / 7 м².,*** not found
Матеріал: <span>9 июля 2020 г.</span> та загальна площа: 174 / 95 / 18 м².,Гречка
Матеріал: утепленная панель та загальна площа: 73 / 29 / 14 м².,Микільсько-Слобідська
Матеріал: <span>1 февраля</span> та загальна площа: 93 / 52 / 13 м².,Правди
Матеріал: утепленная панель та загальна площа: 73.2 / 42.3 / 9.4 м².,Тимошенка
Матеріал: монолитно-каркасные та загальна площа: 140 / 80 / 16 м².,Павла Тичини
Матеріал: монолитно-каркасные та загальна площа: 50 / 18 / 12 м².,Олевська
Матеріал: утепленная панель та загальна площа: 88 / 46 / 12 м².,Освіти
Матеріал: <span>4 февраля</span> та загальна площа: 47.8 / 15.6 / 17.8 м².,Іллєнка
Матеріал: монолитно-каркасные та загальна площа: 43 / 20 / 12 м².,Дніпровська
Матеріал: кирпичные та загальна площа: 72 / 42 / 7 м².,Івана Мазепи
Матеріал: монолитно-каркасные та загальна площа: 247 м².,Українки
Матеріал: монолитно-каркасные та загальна площа: 250 / 170 / 27 м².,Данченка
Матеріал: 0 та загальна площа: 67 / 32 / 13 м².,Драгомирова
Матеріал: утепленная панель та загальна площа: 81 / 34.19 / 15.69 м².,Тбіліський
Матеріал: панельные та загальна площа: 33 м².,Каховська
Матеріал: монолитно-каркасные та загальна площа: 58.3 / 18 / 26 м².,Ушинського
Матеріал: монолитно-каркасные та загальна площа: 93 / 50 / 34 м².,Урлівська
Матеріал: монолитно-каркасные та загальна площа: 109 / 56 / 15 м².,Світлицького
Матеріал: монолитно-каркасные та загальна площа: 70.05 / 34.5 / 14 м².,Дніпровська
Матеріал: кирпичные та загальна площа: 55 / 30 / 8 м².,Липківського
Матеріал: 0 та загальна площа: 88 / 41 / 24 м².,Микільсько-Слобідська
Матеріал: кирпичные та загальна площа: 44.2 / 31.4 / 6.1 м².,Лобановського
Матеріал: монолитно-каркасные та загальна площа: 150 / 91 / 20 м².,Героїв Сталінграда
Матеріал: 0 та загальна площа: 87 / 61 / 25 м².,Дніпровська
Матеріал: монолитно-каркасные та загальна площа: 275 / 150 / 40 м².,Драгоманова
Матеріал: 0 та загальна площа: 80 / 56 / 7 м².,Ахматової
Матеріал: монолитно-каркасные та загальна площа: 54 / 22 / 11 м².,Саперне Поле
Матеріал: 0 та загальна площа: 43 / 14 / 16 м².,Данченка
Матеріал: утепленная панель та загальна площа: 94 / 47 / 14 м².,Голосіївський
Матеріал: монолитно-каркасные та загальна площа: 42 / 15 / 12 м².,*** not found
Матеріал: 0 та загальна площа: 33.8 / 17.5 / 7.2 м².,Глибочицька
Матеріал: монолитно-каркасные та загальна площа: 116 / 55 / 16 м².,Багговутівська
Матеріал: <span>4 февраля</span> та загальна площа: 76 / 33 / 17 м².,Саксаганського
Матеріал: 0 та загальна площа: 59 / 40 / 8 м².,Моторний
Матеріал: кирпичные та загальна площа: 200 / 68 / 66 м².,Йорданська
Матеріал: монолитно-каркасные та загальна площа: 70 / 15.7 / 31.3 м².,Саперне Поле
Матеріал: утепленная панель та загальна площа: 75.5 / 40.6 / 8.5 м².,Вернадського
Матеріал: кирпичные та загальна площа: 150 / 120 / 15 м².,Курбаса
Матеріал: монолитно-каркасные та загальна площа: 162 / 86 / 25 м².,Багговутівська
Матеріал: кирпичные та загальна площа: 45 / 18 / 10 м².,Набережно-Рибальська
Матеріал: 0 та загальна площа: 62 / 27 / 17 м².,Саксаганського
Матеріал: кирпичные та загальна площа: 75 / 45 / 10 м².,Малиновського
Матеріал: монолитно-каркасные та загальна площа: 90.4 / 42 / 25 м².,Протасів Яр
Матеріал: монолитно-каркасные та загальна площа: 70 / 37 / 15 м².,Німанська
Матеріал: панельные та загальна площа: 95 / 53 / 11 м².,Підвисоцького
Матеріал: монолитно-каркасные та загальна площа: 555 м².,Зодчих
Матеріал: <span>19 января</span> та загальна площа: 37.62 / 15.3 / 12.5 м².,Рокосовського
Матеріал: кирпичные та загальна площа: 93 / 31 / 53 м².,Шовковична
Матеріал: 0 та загальна площа: 55 / 22 / 11 м².,Крушельницької
Матеріал: <span>25 января</span> та загальна площа: 102 м².,Новопольова
Матеріал: монолитно-каркасные та загальна площа: 94 / 53.22 / 11.78 м².,Визволителів
Матеріал: <span>29 октября 2020 г.</span> та загальна площа: 41 / 18 / 10 м².,Сонячна
Матеріал: <span>17 февраля</span> та загальна площа: 77.5 / 60 / 24 м².,Сікорського
Матеріал: монолитно-каркасные та загальна площа: 87.98 / 53.21 / 8.58 м².,Радченка
Матеріал: <span>19 октября 2020 г.</span> та загальна площа: 65.91 / 28.74 / 9.89 м².,Бульварно-Кудрявська
Матеріал: <span>28 января</span> та загальна площа: 67 / 30 / 20 м².,Кайсарова
Матеріал: 0 та загальна площа: 127.24 / 71.2 / 21.13 м².,Дніпровська
Матеріал: утепленная панель та загальна площа: 31 / 15 / 7 м².,Перова
Матеріал: <span>18 февраля</span> та загальна площа: 87 / 40.24 / 17.4 м².,Глушкова
Матеріал: <span>17 сентября 2020 г.</span> та загальна площа: 82 м².,Рокосовського
Матеріал: утепленная панель та загальна площа: 50 / 20 / 9 м².,Саперно-Слобідська
Матеріал: <span>15 января</span> та загальна площа: 40 / 16 / 12 м².,Миколи Кибальчича
Матеріал: кирпичные та загальна площа: 70 / 48 / 7 м².,Миколи Ушакова
Матеріал: монолитно-каркасные та загальна площа: 75 / 31 / 26 м².,Антоновича
Матеріал: монолитно-каркасные та загальна площа: 96 / 53 / 14 м².,Богданівська
Матеріал: монолитно-каркасные та загальна площа: 56 / 27.2 / 11.8 м².,
Матеріал: монолитно-каркасные та загальна площа: 43 м².,Сверстюка
Матеріал: монолитно-каркасные та загальна площа: 119 м².,Ревуцького
Матеріал: кирпичные та загальна площа: 43 / 29 / 7 м².,Ованеса Туманяна
Матеріал: кирпичные та загальна площа: 22 / 12.3 / 3.5 м².,Саперне Поле
Матеріал: монолитно-каркасные та загальна площа: 105 / 57 / 16 м².,Григоренка
Матеріал: кирпичные та загальна площа: 44 / 30 / 6 м².,Гречка
Матеріал: монолитно-каркасные та загальна площа: 69 / 33 / 13 м².,Богатирська
Матеріал: 0 та загальна площа: 45 м².,Білоруська
Матеріал: <span>2 ноября 2020 г.</span> та загальна площа: 95 / 45 / 20 м².,Регенераторна
